"","ensembl_transcript_id","external_gene_name","gene_biotype"
"1248","ENSMUST00000188485","Gm29650","lncRNA"
"2186","ENSMUST00000191581","Gm28588","lncRNA"
"3319","ENSMUST00000128240","Gm15345","lncRNA"
"3327","ENSMUST00000116976","Mir1192","miRNA"
"3340","ENSMUST00000130296","Gm16090","lncRNA"
"3371","ENSMUST00000235597","Gm50445","lncRNA"
"3505","ENSMUST00000199618","Mir3084-1","miRNA"
"3519","ENSMUST00000220789","Gm47898","lncRNA"
"3534","ENSMUST00000184278","Mir6360","miRNA"
"3612","ENSMUST00020182438","Gm54439","miRNA"
"3647","ENSMUST00020183286","Gm54396","miRNA"
"3744","ENSMUST00000223994","Gm3227","lncRNA"
"3745","ENSMUST00000184042","Mir6387","miRNA"
"3773","ENSMUST00000083492","Mir134","miRNA"
"3782","ENSMUST00000083504","Mir377","miRNA"
"3813","ENSMUST00000231668","Gm46559","lncRNA"
"3848","ENSMUST00020182316","Gm54384","miRNA"
"3974","ENSMUST00000221790","Gm48709","lncRNA"
"3975","ENSMUST00000163802","Gm17139","lncRNA"
"4108","ENSMUST00000224038","Gm47061","lncRNA"
"4109","ENSMUST00000181176","Gm26688","lncRNA"
"4167","ENSMUST00000169981","Gm17111","lncRNA"
"4357","ENSMUST00000144291","Gm15868","lncRNA"
"4374","ENSMUST00000238186","Gm10549","lncRNA"
"4385","ENSMUST00000232254","Gm36363","lncRNA"
"4425","ENSMUST00000225398","Gm48824","lncRNA"
"4471","ENSMUST00000221433","Gm47118","lncRNA"
"4480","ENSMUST00020183511","Gm54450","miRNA"
"4501","ENSMUST00020182375","Gm54453","miRNA"
"4573","ENSMUST00020181827","Gm54422","miRNA"
"4574","ENSMUST00000123318","Gm15965","lncRNA"
"4664","ENSMUST00000177048","4931403E22Rik","lncRNA"
"4681","ENSMUST00020181855","Gm54370","miRNA"
"4740","ENSMUST00020182475","Gm54464","miRNA"
"4748","ENSMUST00020182459","Gm54471","miRNA"
"4898","ENSMUST00000147504","Gm9968","lncRNA"
"4899","ENSMUST00000155900","Gm15713","lncRNA"
"4900","ENSMUST00000102417","Mir568","miRNA"
"4935","ENSMUST00000160241","Gm15810","lncRNA"
"4940","ENSMUST00000159361","Gm15809","lncRNA"
"5034","ENSMUST00000230791","Gm49503","lncRNA"
"5151","ENSMUST00000228364","Gm2582","lncRNA"
"5329","ENSMUST00000184173","Mir6938","miRNA"
"5339","ENSMUST00000228623","Gm49150","lncRNA"
"5340","ENSMUST00000176703","9330154K18Rik","lncRNA"
"5428","ENSMUST00000083626","Mir148b","miRNA"
"5429","ENSMUST00000231068","Gm49482","lncRNA"
"5477","ENSMUST00000228200","Gm49189","lncRNA"
"5583","ENSMUST00000220527","Gm36752","lncRNA"
"5594","ENSMUST00000240343","Mir3470b","miRNA"
"5604","ENSMUST00000183535","Mir6963","miRNA"
"5706","ENSMUST00000223763","D130062J10Rik","lncRNA"
"5709","ENSMUST00000225263","Gm47551","lncRNA"
"5731","ENSMUST00000220896","Gm5784","lncRNA"
"5735","ENSMUST00000231385","Gm49769","lncRNA"
"5798","ENSMUST00000221152","Gm36635","lncRNA"
"5831","ENSMUST00000159897","Gm15995","lncRNA"
"5832","ENSMUST00000161925","Gm15996","lncRNA"
"5852","ENSMUST00020182921","Gm54517","miRNA"
"5857","ENSMUST00020182756","Gm54518","miRNA"
"5885","ENSMUST00000184710","Mir3620","miRNA"
"5960","ENSMUST00000229446","Gm49521","lncRNA"
"6048","ENSMUST00000172891","Gm20407","lncRNA"
"6051","ENSMUST00000180491","6430562O15Rik","lncRNA"
"6052","ENSMUST00000180808","6430562O15Rik","lncRNA"
"6129","ENSMUST00000228568","Gm49004","lncRNA"
"6135","ENSMUST00020182863","Gm54393","miRNA"
"6223","ENSMUST00000189953","Gm29168","lncRNA"
"6224","ENSMUST00000176631","Mir5623","miRNA"
"6229","ENSMUST00000235250","Gm50287","lncRNA"
"6285","ENSMUST00000221404","Gm3772","lncRNA"
"6307","ENSMUST00000234698","Gm50012","lncRNA"
"6553","ENSMUST00000221315","Gm40932","lncRNA"
"6575","ENSMUST00000188535","Gm29261","lncRNA"
"6621","ENSMUST00020183403","Gm54398","miRNA"
"6636","ENSMUST00000122904","Gm15556","lncRNA"
